model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,horizon,bh_q_value
two_way_country_year_cluster,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,oil_export_share,-0.36426105211202353,0.2920519426643942,-1.2472474888845613,0.22058838888966625,-0.9571580163759247,0.22863591215187762,1535,36,0.39485713408070255,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,
two_way_country_year_cluster,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,log_gdp_constant_2015_usd,0.107626846192471,0.11494023283164026,0.9363722653156479,0.35549801068009756,-0.12571423175398222,0.3409679241389242,1535,36,0.39485713408070255,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,
two_way_country_year_cluster,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,log_population,0.015134335917313045,0.1653596080782208,0.09152377713760655,0.9275982480229596,-0.3205635154546524,0.3508321872892785,1535,36,0.39485713408070255,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,
two_way_country_year_cluster,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,log_gni_per_capita_constant_2015_usd,0.023496206787881446,0.15856267615994707,0.14818245602880778,0.8830492132752281,-0.2984031392090187,0.34539555278478157,1535,36,0.39485713408070255,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,
lagged_growth_control,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,product_partner_cell_gini,-0.026062464883978616,0.6720689903978602,-0.03877944862260319,0.9691971526388414,-1.3708694084265451,1.3187444786585878,1495,60,0.41526913094470497,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,0.9691971526388414
lagged_growth_control,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,log_initial_exports_constant_2015_usd,-0.09833500348717567,0.030016262821328056,-3.276057518303169,0.001765533482071486,-0.1583974066601358,-0.038272600314215525,1495,60,0.41526913094470497,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
lagged_growth_control,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,oil_export_share,-0.0052056585609275615,0.08700752956068336,-0.05982997778711643,0.9524932483894242,-0.17930732307073327,0.16889600594887816,1495,60,0.41526913094470497,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
lagged_growth_control,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,log_gdp_constant_2015_usd,0.07137911751167433,0.1384009896546356,0.5157413808224425,0.6079623911464309,-0.20556062311009363,0.3483188581334423,1495,60,0.41526913094470497,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
lagged_growth_control,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,log_population,0.024744973023816577,0.17940733850086957,0.1379262031898246,0.8907683926515177,-0.33424828211154073,0.38373822815917386,1495,60,0.41526913094470497,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
lagged_growth_control,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,log_gni_per_capita_constant_2015_usd,-0.007051937395020497,0.16319116769910477,-0.04321273935623161,0.9656778660426196,-0.3335967097057565,0.31949283491571556,1495,60,0.41526913094470497,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
