country,iso3,mean_log_population,mean_oil_export_share,mean_gdp_per_capita,mean_population,microstate_lt_1m,major_oil_exporter_ge_30pct,hub_exclusion,imf_2000_ofc,production_core_keep,strict_production_core_keep,exclusion_reasons
Ecuador,ECU,16.552263076420285,0.464571968688856,12265.909214348956,15436772.973667022,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Egypt,EGY,18.349175859805563,0.3289372172643557,13066.639641823771,93099173.04834734,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
El Salvador,SLV,15.627084859469115,0.029283573115998385,9250.409879070863,6120074.694937131,False,False,False,False,True,True,
Estonia,EST,14.110257914050687,0.11538639958418498,34220.35966246238,1342787.0688481366,False,False,False,False,True,True,
Eswatini,SWZ,13.932819235732138,0.012052401794617815,8393.341027699182,1124466.4739265707,False,False,False,False,True,True,
Ethiopia,ETH,18.35812056143126,6.077483287974166e-05,1634.0188022548748,93935652.82682092,False,False,False,False,True,True,
Fiji,FJI,13.716902750836537,0.20822019649986048,10919.23637030941,906098.003525367,True,False,False,False,False,False,mean_population_below_1m
Finland,FIN,15.500667850835896,0.07550074797753607,53837.9935500234,5393299.193152676,False,False,False,False,True,True,
France,FRA,17.99393652432241,0.03671230696504677,50130.669526626,65263046.09418068,False,False,False,False,True,True,
Gabon,GAB,14.403417211434004,0.7022768368019635,19639.16873811238,1800215.9923797483,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Gambia,GMB,14.521777283619382,0.10552905815352713,2674.517981014136,2026411.9678519745,False,False,False,False,True,True,
Georgia,GEO,15.151681638904288,0.03536940068509679,13382.09816201634,3804448.6559770154,False,False,False,False,True,True,
Germany,DEU,18.22527130908659,0.022132388831156383,57029.95744695684,82249782.98175597,False,False,False,False,True,True,
Ghana,GHA,17.091115974125984,0.16583645523850862,5064.704378834773,26459239.483715486,False,False,False,False,True,True,
Greece,GRC,16.19909891934499,0.24806145968947255,34948.34108519265,10843744.407159368,False,False,False,False,True,True,
Greenland,GRL,10.941732576734546,9.466358066848024e-05,57458.8690684775,56485.123226314536,True,False,False,False,False,False,mean_population_below_1m
Grenada,GRD,11.633465065211448,0.0018482897142410816,14434.17544589848,112810.54133277292,True,False,False,True,False,False,mean_population_below_1m
Guatemala,GTM,16.519705180551377,0.04916505562498754,10340.643012624962,14942277.670266422,False,False,False,False,True,True,
Guyana,GUY,13.558214656164782,0.13837396887734887,16257.787685084426,773139.4065732257,True,False,False,False,False,False,mean_population_below_1m
Honduras,HND,15.962039605468108,0.014150336158379547,5538.79728718139,8555112.414804613,False,False,False,False,True,True,
Hungary,HUN,16.107481878296316,0.02772767301242976,31005.10813456934,9894423.546732863,False,False,False,False,True,True,
Iceland,ISL,12.697062326645549,0.013811822976632469,59402.0960621061,326786.4984315406,True,False,False,False,False,False,mean_population_below_1m
India,IND,20.957964760925908,0.13880608254038637,5814.366335432895,1264527992.3586957,False,False,False,False,True,True,
Indonesia,IDN,19.339891876155,0.25321164152031356,9814.161344492632,250731167.2129434,False,False,False,False,True,True,
