country,iso3,reporter_code,base_window,future_window,base_year,base_year_2,future_year,future_year_2,horizon,total_positive_expansion_2024_usd,total_net_growth_2024_usd,below_threshold_residual_positive_expansion_share,continuing_product_positive_expansion_share,dying_product_positive_expansion_share,new_product_positive_expansion_share,below_threshold_residual_net_contribution_2024_usd,continuing_product_net_contribution_2024_usd,dying_product_net_contribution_2024_usd,new_product_net_contribution_2024_usd
Kyrgyzstan,KGZ,417,2018-2019,2023-2024,2018,2019,2023,2024,5,1670558889.9598393,1228921480.5856168,0.029533487626070474,0.7001259164803583,0.036095234162091566,0.2342453617314797,37075181.14777672,868710895.3582888,-67826029.03621925,390961433.1157706
Luxembourg,LUX,442,2018-2019,2023-2024,2018,2019,2023,2024,5,2241777211.5583134,-1130412570.4873228,0.0018178477704650828,0.7801954647269246,0.00016399486570635246,0.21782269263690385,309580.0870779231,-1488727969.7222638,-125380458.6338271,483386277.78169006
Mauritania,MRT,478,2018-2019,2023-2024,2018,2019,2023,2024,5,2067468645.486796,1559403697.5036228,0.009922789819363297,0.22607949340740044,0.002520973693535191,0.7614767430797013,18774518.617980916,-16589961.920573546,-17110149.778471388,1574329290.5846868
Mexico,MEX,484,2018-2019,2023-2024,2018,2019,2023,2024,5,77227184784.52136,34222692076.627983,0.00042750658346474854,0.9631944435590203,0.0014183693176618253,0.03495968053985343,-41085845.14288756,33856269050.190483,-2264297013.826043,2671805885.4064255
Morocco,MAR,504,2018-2019,2023-2024,2018,2019,2023,2024,5,29070521346.317226,26566158356.32698,0.00031350052949803513,0.9205069865975255,4.142022762767127e-05,0.07913809264534886,-1019533.483836136,25394318196.56749,-1127474479.5995963,2300334172.842928
Mozambique,MOZ,508,2018-2019,2023-2024,2018,2019,2023,2024,5,3723385661.477507,1901535080.6153371,0.006293717245214457,0.9437627497644352,0.006685646368470853,0.04325788662187944,6816389.774187677,2578276256.026423,-843338019.3489826,159780454.16370952
Netherlands,NLD,528,2018-2019,2023-2024,2018,2019,2023,2024,5,141717666656.8648,74416963847.07253,2.636220391021674e-05,0.6405809760659812,3.812370709405658e-07,0.35939228049303773,3373568.854261945,25920156228.208508,-2438547484.297425,50931981534.30718
New Zealand,NZL,554,2018-2019,2023-2024,2018,2019,2023,2024,5,11970583506.249985,7474019965.758195,0.005560592468823823,0.14621297444813036,0.0035865720010236414,0.844639861082022,59211435.24031923,-2572747830.8427615,-120556557.81772093,10108112919.178358
Niger,NER,562,2018-2019,2023-2024,2018,2019,2023,2024,5,408888812.2008313,-211584621.56021833,0.9305716935187532,0.04632387679753305,0.016833844778825702,0.006270584904888128,361548720.3388313,-362136189.2352345,-205419143.1737983,-5578009.490016825
North Macedonia,MKD,807,2018-2019,2023-2024,2018,2019,2023,2024,5,1948447933.7895663,326683642.37174326,0.0034465985331402368,0.9658403903413448,6.263724732446305e-05,0.030650373878190442,-4710903.602960402,292023452.1685184,-20327580.754919104,59698674.56110442
Norway,NOR,579,2018-2019,2023-2024,2018,2019,2023,2024,5,48106257778.05211,40382782167.39133,0.0002638778091593494,0.991974225772446,6.142237644847965e-08,0.0077618349960179925,9057705.05962005,40685990609.42376,-682016537.2650484,369750390.1729912
