model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference
baseline_population_year_fe,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,log_gdp_per_capita,-0.039115246452427095,0.005446047281721296,-7.182318556746756,1.3288299786102166e-09,-0.05001276189200158,-0.02821773101285261,1878,60,0.47382842325069907,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,average_log_population,-0.03185476640345688,0.005893502522574855,-5.405065371812146,1.224438060237083e-06,-0.04364763771188071,-0.020061895095033047,1878,60,0.4517790923396142,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,log_gdp_per_capita,-0.03996806721520993,0.005590391230042296,-7.149422208668486,1.5107874733387925e-09,-0.05115441422822975,-0.02878172020219011,1878,60,0.4517790923396142,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,baseline_log_population,-0.00047134295742087763,0.008602243781323977,-0.054793024866860135,0.9564884806583305,-0.017684393005038695,0.016741707090196938,1878,60,0.015200850729213067,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_per_capita,0.00825232541180721,0.008564296714506215,0.9635730389664584,0.33919288432454575,-0.008884792730496261,0.02538944355411068,1878,60,0.015200850729213067,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,average_log_population,0.0012080206065282536,0.008884387799322229,0.13597117030623213,0.8923069474306069,-0.01656959831705932,0.018985639530115825,1878,60,0.01535743445407467,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_per_capita,0.008530795513354762,0.008674069260480987,0.98348252212154,0.32938597614984155,-0.00882597698608521,0.025887568012794734,1878,60,0.01535743445407467,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,baseline_log_population,-0.012597108710298437,0.005728426033773593,-2.1990523463214044,0.03180655183250322,-0.024059662727599903,-0.0011345546929969717,1878,60,0.09143154454819269,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_per_capita,0.009842457600525161,0.005817037837904185,1.6920050848545436,0.0959205853834864,-0.0017974082272856802,0.021482323428336003,1878,60,0.09143154454819269,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,average_log_population,-0.011920077728008897,0.005860540135776661,-2.033955480526575,0.04646021219673762,-0.023646991452798784,-0.000193164003219011,1878,60,0.086492231056856,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_per_capita,0.00953358851883531,0.005896775766257663,1.616745980640488,0.11126804632463987,-0.0022658325350691753,0.021333009572739797,1878,60,0.086492231056856,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
