variant,flow,metric_name,outcome,income_form,sample_policy,model_name,curve_component,observations,entity_count,support_p05,support_p95,turning_point_income_variable,turning_point_ppp_2011_usd,turning_point_ci_low_ppp_2011_usd,turning_point_ci_high_ppp_2011_usd,turning_point_inside_p05_p95,slope_p05,slope_p95,slope_p05_p_value,slope_p95_p_value,u_test_p_value,obs_below_turning_point,obs_above_turning_point,entity_below_turning_point,entity_above_turning_point,classification,cluster_count_reference,linear_term_name,square_term_name,linear_term_coefficient,linear_term_cluster_se,linear_term_cluster_p_value,square_term_coefficient,square_term_cluster_se,square_term_cluster_p_value,u_test_q_value,excluded_entity_id
coded_zero_inclusive,Imports,Gini,partner_gini,gdppc_10k,fixed,pooled_year_fe,overall,1672,13,0.19456037590651784,3.7506601602335103,7.816470474344806,78164.70474344806,,,False,-0.005969798544777765,-0.0031845125674596097,0.3360728935347096,0.7945475275088562,0.7945475275088562,1667.0,5.0,13.0,1.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.006122186362786289,0.014384691695498088,0.6779295219415273,0.0003916208973654099,0.0016471326550217807,0.8160789434903784,,
coded_zero_inclusive,Imports,Gini,partner_gini,gdppc_10k,fixed,entity_year_fe_logpop,within,1634,13,0.20762999999999998,3.7809980490953286,5.383226878661963,53832.268786619636,,,False,-0.04277396962824744,-0.013241697315325603,0.09560954420512821,0.8829493010477951,0.8829493010477951,1619.0,15.0,13.0,1.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.04448993776141647,0.03207924761986785,0.19070206190030542,0.004132274076889245,0.0029074672007665795,0.18070368397782646,,
coded_zero_inclusive,Imports,Theil,partner_theil,gdppc_10k,fixed,pooled_year_fe,overall,1672,13,0.19456037590651784,3.7506601602335103,17.525013593859093,175250.13593859092,,,False,-0.05766455534524159,-0.045832151988697896,0.32777303747980746,0.8674165410699184,0.8674165410699184,1672.0,0.0,13.0,0.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.05831192661841929,0.13163651933726406,0.6656625386532946,0.0016636770723776288,0.014920914910676566,0.9130634221171582,,
coded_zero_inclusive,Imports,Theil,partner_theil,gdppc_10k,fixed,entity_year_fe_logpop,within,1634,13,0.20762999999999998,3.7809980490953286,6.2285480381532965,62285.480381532965,,,False,-0.2728965234392717,-0.11093455827254711,0.13966182994513823,0.876413759882959,0.876413759882959,1623.0,11.0,13.0,1.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.2823072984743484,0.2497662409028665,0.28044157021077015,0.02266236823936014,0.021757650395715342,0.3181366066778442,,
coded_zero_inclusive,Imports,HHI,partner_hhi,gdppc_10k,fixed,pooled_year_fe,overall,1672,13,0.19456037590651784,3.7506601602335103,5.546220301717469,55462.20301717469,,,False,-0.02224033465149704,-0.007461957408932581,0.08611695404244468,0.9641928866186764,0.9641928866186764,1658.0,14.0,13.0,1.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.02304888525636873,0.016083415403561906,0.1773693514609967,0.00207789124867897,0.0020185851009079294,0.3236033045873361,,
coded_zero_inclusive,Imports,HHI,partner_hhi,gdppc_10k,fixed,entity_year_fe_logpop,within,1634,13,0.20762999999999998,3.7809980490953286,-55.3051228923385,-553051.228923385,,,False,-0.00848334266439561,-0.009029417287739722,0.3303579629837468,0.8880287640007232,0.8880287640007232,0.0,1634.0,0.0,13.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.00845161308253134,0.019615581666339265,0.674206423831567,-7.640895309991395e-05,0.001925817471742036,0.9690038072609365,,
rank_top5,Exports,Gini,partner_gini,gdppc_10k,fixed,pooled_year_fe,overall,2052,13,0.16141589820644797,3.6122471496437676,3.4088483605064384,34088.483605064386,,,True,-0.015258740444221694,0.0009557117403197235,0.4007704017449984,0.4764803089293741,0.4764803089293741,1926.0,126.0,13.0,7.0,insufficient_support,13.0,gdppc_10k,gdppc_10k_sq,-0.016017186793113175,0.061551101020148796,0.7991009918105291,0.0023493545472250883,0.006867780670879812,0.7382046158756739,,
rank_top5,Exports,Gini,partner_gini,gdppc_10k,fixed,entity_year_fe_logpop,within,1970,13,0.172585,3.6387545377958967,5.189234353735135,51892.34353735136,,,False,-0.09291297191078587,-0.028716315897052605,0.05012498193272401,0.9429393532463266,0.9429393532463266,1955.0,15.0,13.0,1.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.09610940525235157,0.05396195349905913,0.10020886907543727,0.009260461052715167,0.005215577726413398,0.10115189253656075,,
rank_top5,Exports,Theil,partner_theil,gdppc_10k,fixed,pooled_year_fe,overall,2052,13,0.16141589820644797,3.6122471496437676,5.184006008695764,51840.060086957645,,,False,-0.005623142549954348,-0.0017596944851511953,0.465322793681108,0.5468255510233198,0.5468255510233198,2037.0,15.0,13.0,1.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.00580385899017275,0.06564162845877995,0.9310034137137346,0.0005597851333927112,0.007428169156004638,0.9411702307094543,,
rank_top5,Exports,Theil,partner_theil,gdppc_10k,fixed,entity_year_fe_logpop,within,1970,13,0.172585,3.6387545377958967,5.351073585692797,53510.73585692797,,,False,-0.12276160158841977,-0.04059235146929638,0.0486038616473463,0.9535109180868186,0.9535109180868186,1955.0,15.0,13.0,1.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.12685291330216433,0.07055895754930068,0.09739212773446311,0.011853033907189378,0.006751226124412479,0.10460982102832861,,
