model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,benchmark_policy
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.08043359524851887,0.01509112438826766,5.329860995052868,3.4365847847585515e-07,0.050621259234295495,0.11024593126274224,3641,155,0.9058129968283922,ok,3641,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.0711236774196807,0.020969104137665683,3.391831952034853,0.0008824227391592087,0.029699462604028268,0.11254789223533314,3635,155,0.3115821831956701,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.27170010992762195,0.030412922775827595,8.93370597526296,1.1806983877724524e-15,0.21161974416823012,0.3317804756870138,3635,155,0.3115821831956701,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5264007888122124,0.04439187399748577,-11.858043858252666,1.8696714508967187e-23,-0.6140964057765114,-0.43870517184791347,3635,155,0.5511297237254997,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.693691777035306,0.05680146895098498,-12.212567559369024,2.043994867440009e-24,-0.8059024006376623,-0.5814811534329498,3635,155,0.5511297237254997,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.0510612699541213,0.005667590113165823,9.009344171785795,7.520912375794169e-16,0.03986501336664343,0.062257526541599176,3635,155,0.5440949962305084,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.11082806112324091,0.008529455391770255,12.993568291613865,1.561513628431037e-26,0.09397822385362883,0.12767789839285298,3635,155,0.5440949962305084,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.0711236774196807,0.020461708169787294,3.4759403677107596,0.001955255304854399,0.028892787359604384,0.11335456747975703,3635,25,0.3115821831956701,ok,3635,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",noncommodity_broad,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.27170010992762195,0.029638227071331798,9.167218716345879,2.61112641927359e-09,0.21052981570589557,0.3328704041493483,3635,25,0.3115821831956701,ok,3635,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",noncommodity_broad,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5264007888122124,0.0436594840119906,-12.05696312552943,1.1330782268956048e-11,-0.6165095350659814,-0.43629204255844345,3635,25,0.5511297237254997,ok,3635,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",noncommodity_broad,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.693691777035306,0.05539236429203469,-12.523238282050682,5.1399111026889686e-12,-0.8080159980228118,-0.5793675560478003,3635,25,0.5511297237254997,ok,3635,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",noncommodity_broad,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.0510612699541213,0.005534794042730832,9.225504970900055,2.3164257450619496e-09,0.0396380164904218,0.062484523417820806,3635,25,0.5440949962305084,ok,3635,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",noncommodity_broad,double_leave_out
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.11082806112324091,0.008352676053255759,13.268569308400467,1.5189930564776935e-12,0.09358898503118153,0.12806713721530028,3635,25,0.5440949962305084,ok,3635,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",noncommodity_broad,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,-0.23678279026032165,0.17955306298962248,-1.3187343413573893,0.18921566609379586,-0.5914877220141914,0.11792214149354815,3635,155,0.7828543513622732,ok,3635,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.2692138225963623,0.06966393718464176,3.8644646495190296,0.0001636922229943278,0.13159354659910802,0.4068340985936165,3635,155,0.7828543513622732,ok,3635,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.03801859353500893,0.43749257654614093,-0.08690111689472114,0.9308630015867708,-0.902279954064361,0.8262427669943432,3635,155,0.9142628652338971,ok,3635,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.35757768079193997,0.11774221379013139,-3.036953946095334,0.0028074511500636077,-0.5901760180834174,-0.12497934350046255,3635,155,0.9142628652338971,ok,3635,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,-0.0651039071979637,0.0340933753761363,-1.9095764640403798,0.058047118013905934,-0.1324549631181316,0.002247148722204176,3635,155,0.91485766991088,ok,3635,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.07447341309561678,0.016841241148970565,4.422085785534223,1.837955616145965e-05,0.04120374232012394,0.10774308387110962,3635,155,0.91485766991088,ok,3635,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,double_leave_out
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.08294118786760221,0.020888352246111592,3.970690789314982,0.00010968506736154786,0.04167649744939403,0.1242058782858104,3635,155,0.3367846085659053,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,exclude_importer
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.28569646423763584,0.030707368381180412,9.30384071637771,1.286160784791456e-16,0.22503442470107243,0.34635850377419924,3635,155,0.3367846085659053,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,exclude_importer
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5382182992601336,0.044055865087031104,-12.216722976541234,1.9916377262306974e-24,-0.625250134634372,-0.45118646388589534,3635,155,0.5647320230708472,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,exclude_importer
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.7076881313453188,0.05661932946767224,-12.499055322606484,3.4163887813578324e-25,-0.8195389405734592,-0.5958373221171784,3635,155,0.5647320230708472,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,exclude_importer
