country,iso3,reporter_code,year,flow,variant,world_relative_product_gini,world_weighted_share_gini,world_weighted_product_coverage,weighted_mean_relative_trade_intensity,weighted_mean_relative_export_intensity,world_weighted_mean_country_share,country_total_trade_value,world_total_trade_value,country_total_exports,world_total_exports,leave_one_out_world_total_exports,country_active_products,world_benchmark_products,zero_weight_country_trade_share,zero_weight_country_export_share,missing_benchmark_product_count,negative_leave_one_out_product_count,metric_valid,invalid_reason,active_product_gini,active_product_count,active_product_total_exports,world_relative_minus_active_product_gini,sample_window
Czech Republic,CZE,203,2024,Exports,world_relative,0.6624968844149108,0.8147289679853509,0.984946658950107,1.0000000000000002,1.0000000000000002,0.003387310642332174,258705155451.99997,20562489519169.53,258705155451.99997,20562489519169.53,20303784363717.527,4812,4982,0.0,0.0,0,0,True,,0.907533293923838,5152.0,258705155452.0,-0.24503640950892713,balanced_2000_2024
Belgium,BEL,56,2024,Exports,world_relative,0.6624492893354345,0.8529811885631734,0.9986027633246304,1.0,1.0,0.004861109247765771,361569942857.322,20562489519169.53,361569942857.322,20562489519169.53,20200919576312.207,4911,4982,0.0,0.0,0,0,True,,0.8995614438273105,5365.0,361569942857.3219,-0.23711215449187606,balanced_2000_2024
United Kingdom,GBR,826,2024,Exports,world_relative,0.653148381907693,0.8249763416903584,0.9954016732806674,1.0,1.0,0.005169423347032081,494267654806.127,20562489519169.53,494267654806.127,20562489519169.53,20068221864363.402,4877,4982,0.0,0.0,0,0,True,,0.911060005666716,5276.0,494267654806.12695,-0.257911623759023,balanced_2000_2024
Poland,POL,616,2024,Exports,world_relative,0.6443459656845693,0.6856228654182538,0.9840275849758611,1.0,1.0,0.0017960478520784972,378603002972.0,20562489519169.53,378603002972.0,20562489519169.53,20183886516197.53,4863,4982,0.0,0.0,0,0,True,,0.8711648496283213,5211.0,379704654454.0,-0.22681888394375205,balanced_2000_2024
Italy,ITA,380,2024,Exports,world_relative,0.6390571681584238,0.7782738343574181,0.9942252933560102,0.9999999999999999,0.9999999999999999,0.0027707116666690775,628773462492.4741,20562489519169.53,628773462492.4741,20562489519169.53,19933716056677.055,4848,4982,0.0,0.0,0,0,True,,0.8483810347823186,5306.0,628773462492.474,-0.2093238666238948,balanced_2000_2024
France,FRA,251,2024,Exports,world_relative,0.6129932756026926,0.7541099521640321,0.9981454929799566,1.0,1.0,0.0026858473668348306,644263935532.759,20562489519169.53,644263935532.759,20562489519169.53,19918225583636.773,4931,4982,0.0,0.0,0,0,True,,0.8690349694673405,5472.0,644263935532.759,-0.2560416938646479,balanced_2000_2024
Spain,ESP,724,2024,Exports,world_relative,0.6091853081264867,0.7676011776770879,0.996554564806972,1.0,1.0,0.0032315698518508486,383468213566.261,20562489519169.53,383468213566.261,20562489519169.53,20179021305603.266,4915,4982,0.0,0.0,0,0,True,,0.8586953867085407,5397.0,383468213566.261,-0.24951007858205398,balanced_2000_2024
Netherlands,NLD,528,2024,Exports,world_relative,0.5888694285867635,0.8151119440293743,0.9988899776978365,1.0,1.0,0.004543593107645966,678012277815.214,20562489519169.53,678012277815.214,20562489519169.53,19884477241354.312,4921,4982,0.0,0.0,0,0,True,,0.8680824179173119,5432.0,678150400088.062,-0.2792129893305484,balanced_2000_2024
Germany,DEU,276,2024,Exports,world_relative,0.5389318038678169,0.7736586655010532,0.9939772929650672,1.0,1.0,0.0033767700698482737,1572581059596.584,20562489519169.53,1572581059596.584,20562489519169.53,18989908459572.945,4848,4982,0.0,0.0,0,0,True,,0.8558191578119312,5361.0,1572581059596.584,-0.31688735394411427,balanced_2000_2024
United States,USA,842,2024,Exports,world_relative,0.47579297408839294,0.7937607711121961,0.9985649183422147,1.0,1.0,0.006572354490588349,1861265103937.0,20562489519169.53,1861265103937.0,20562489519169.53,18701224415232.527,4947,4982,0.0,0.0,0,0,True,,0.8880914462857219,5517.0,1861265103937.0,-0.41229847219732896,balanced_2000_2024
