variant,outcome,outcome_label,expected_shape,estimator,income_form,observations,countries,linear_coefficient,linear_p_value,quadratic_coefficient,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,income_p05,income_p95,turning_point_inside_p05_p95,slope_at_p05,slope_at_p05_standard_error,slope_at_p05_one_sided_p,slope_at_p95,slope_at_p95_standard_error,slope_at_p95_one_sided_p,intersection_union_endpoint_p,observations_above_turning_point,countries_above_turning_point,r_squared
no_microstates,export_active_product_count,Export active-product count,count_inverted_u,pooled_year_fe,log_ppp,2602,107,2244.252856395141,0.01131476852273037,-64.54216773079652,0.17744154946809243,35531943.74327004,2004.044756167649,65339.13789088628,False,1262.8346197887026,163.80008694264558,6.328271240363392e-15,813.0501025891867,182.255056201967,0.9999959221708044,0.9999959221708044,0,0,0.7815053709645053
no_microstates,export_active_product_count,Export active-product count,count_inverted_u,between_country,log_ppp,107,107,2234.5658471964593,0.01947614220540869,-62.91285548452808,0.2223835398907419,51609429.13285828,2071.247387668284,63196.47397187343,False,1273.7725071614677,174.76748989904877,1.5687451337953462e-13,843.6879616432673,190.98916577851654,0.9999950067390209,0.9999950067390209,0,0,0.8212799288261863
no_microstates,export_active_product_count,Export active-product count,count_inverted_u,country_year_fe,log_ppp,2602,107,2096.81045486363,0.07072807984827997,-84.44722211703552,0.19097860257586474,246450.56180952644,2004.044756167649,65339.13789088628,False,812.7190347846658,240.7590530099556,0.00036820358346312254,224.2192312581201,334.69502699624184,0.7485459278879225,0.7485459278879225,0,0,0.9570240484431761
no_microstates_or_major_oil,export_product_gini,Export Product Gini,concentration_u,pooled_year_fe,level_ppp,2160,88,-0.022564520538777062,1.0366837529290373e-14,0.0018162049401169661,5.441426811654556e-10,62119.973468753684,1747.6748569947295,62783.22972293275,True,-0.021929693396978655,0.0028254533574107355,4.197272059120128e-15,0.00024092185708069966,0.0016392077952039573,0.441576047163713,0.441576047163713,118,10,0.4775633158880819
no_microstates_or_major_oil,export_product_gini,Export Product Gini,concentration_u,between_country,level_ppp,88,88,-0.025358775429955214,4.76556181877985e-13,0.002199910861312762,2.6510542563507195e-07,57635.91579074883,1951.2658861698824,62079.87338353759,True,-0.024500253226696377,0.0033543314081322115,1.3960113166833928e-13,0.0019552621151178624,0.0025196599344495655,0.21887378922730072,0.21887378922730072,6,6,0.5250538949022834
no_microstates_or_major_oil,export_product_gini,Export Product Gini,concentration_u,country_year_fe,level_ppp,2160,88,-0.005111961985711842,0.28887240482076804,0.0004495820493688956,0.08736683972678101,56852.38092677187,1747.6748569947295,62783.22972293275,True,-0.004954817336944205,0.00473540437391515,0.14770329311950003,0.0005332806312550115,0.0021987557356116377,0.404181867133641,0.404181867133641,209,13,0.9345077237273185
no_microstates_or_major_oil,export_product_gini,Export Product Gini,concentration_u,pooled_year_fe,log_ppp,2160,88,0.03560063645824464,0.4180334549549416,-0.0029281677828797825,0.22165336819466286,436.590337858334,1747.6748569947295,62783.22972293275,False,-0.008123008091261909,0.008553138393886689,0.17112960479306216,-0.029096898498962645,0.009473013108791086,0.9989352720260597,0.9989352720260597,2160,88,0.43455985083288173
no_microstates_or_major_oil,export_product_gini,Export Product Gini,concentration_u,between_country,log_ppp,88,88,0.03705048266612332,0.4346106184053705,-0.00302444587765573,0.24111494636702935,457.22185647502994,1951.2658861698824,62079.87338353759,False,-0.008777334373870252,0.00871459425598079,0.15691947329133366,-0.02970615809668546,0.010024718114423662,0.998478157173838,0.998478157173838,88,88,0.46817554964332597
no_microstates_or_major_oil,export_product_gini,Export Product Gini,concentration_u,country_year_fe,log_ppp,2160,88,-0.04187814392575795,0.2656051290167457,0.001799779833565468,0.3723169591352431,112898.0858560297,1747.6748569947295,62783.22972293275,False,-0.015003681960059394,0.008997651820503784,0.04770643521879274,-0.0021122126911545316,0.009222469519546627,0.5905767999978959,0.5905767999978959,12,2,0.934595686848767
no_microstates_or_major_oil,export_product_theil,Export Product Theil,concentration_u,pooled_year_fe,level_ppp,2160,88,-0.895860147429308,1.8133816041016218e-16,0.07160688347278525,2.9115880369282464e-07,62554.05234678217,1747.6748569947295,62783.22972293275,True,-0.8708310374626803,0.10420855679726154,3.227110346406826e-17,0.0032821355337226965,0.08099278339177028,0.48383776560693204,0.48383776560693204,113,10,0.5687728518008854
