country,iso3,reporter_code,snapshot,year,top5_share,rank6_50_share,rank51_200_share,rank201_plus_share,long_tail_rank51_plus_share,top10_share,active_nonenergy_products,total_nonenergy_imports,source_file
Morocco,MAR,504,mid,2009,0.07922823037111995,0.2721794910208591,0.24010577376765863,0.40848650484036253,0.6485922786080213,0.13689806858955558,4490,25169610298.021996,COMTRADE-FINAL-CA5042009H2[2022-12-21].parquet
Morocco,MAR,504,end,2024,0.11689053366825129,0.33902371893520167,0.2356472459074986,0.30843850148904856,0.5440857473965471,0.19967756185810231,4850,84719631994.603,COMTRADE-FINAL-CA5042024H6[2025-12-10].parquet
Mozambique,MOZ,508,mid,2010,0.1479973195260394,0.3064409100762097,0.25531803771556383,0.29024373268218706,0.545561770397751,0.2181446504578559,3725,2247518942.0,COMTRADE-FINAL-CA5082010H2[2011-04-06].parquet
Mozambique,MOZ,508,end,2024,0.16992659759040377,0.2815924021563849,0.245798668817186,0.3026823314360255,0.5484810002532116,0.2388753708684957,4387,7401293267.999998,COMTRADE-FINAL-CA5082024H6[2025-10-09].parquet
Netherlands,NLD,528,start,1992,0.07909830197450467,0.18886010540185666,0.21461931682243368,0.5174222758012049,0.7320415926236387,0.11894004498479477,4576,116699100835.0,COMTRADE-FINAL-CA5281992H0[2002-09-01].parquet
Netherlands,NLD,528,mid,2009,0.1265723495246446,0.2420763026234085,0.217116710857777,0.4142346369941699,0.6313513478519469,0.1783173910142231,4539,262348268012.0,COMTRADE-FINAL-CA5282009H3[2010-09-14].parquet
Netherlands,NLD,528,end,2025,0.09472813478054552,0.22851543889286607,0.2334890173251034,0.4432674090014849,0.6767564263265885,0.1476225045839962,5403,535700833810.208,COMTRADE-FINAL-CA5282025H6[2026-05-14].parquet
New Zealand,NZL,554,start,1989,0.1392382027115127,0.21410607328796744,0.20018655292689194,0.4464691710736279,0.64665572400052,0.19366615410110707,4618,8378291491.0,COMTRADE-FINAL-CA5541989H0[2002-09-01].parquet
New Zealand,NZL,554,mid,2007,0.11644165424193728,0.2268962922678868,0.2280162417173921,0.4286458117727838,0.6566620534901758,0.16635618198008364,4338,25756677690.0,COMTRADE-FINAL-CA5542007H3[2008-03-13].parquet
New Zealand,NZL,554,end,2025,0.10087906742521945,0.24620163991243604,0.23153502270224985,0.4213842699600947,0.6529192926623446,0.16351269182793954,4897,41749554581.252,COMTRADE-FINAL-CA5542025H6[2026-03-13].parquet
Niger,NER,562,start,1995,0.26073682168405543,0.3368534532365464,0.22316744794700505,0.17924227713239307,0.4024097250793981,0.3436591949743837,3265,300379162.0,COMTRADE-FINAL-CA5621995H0[2002-09-01].parquet
Niger,NER,562,mid,2010,0.17880678962468477,0.3904136521134577,0.2760058321967706,0.1547737260650869,0.4307795582618576,0.27587917456209515,2991,1991060394.0,COMTRADE-FINAL-CA5622010H3[2011-08-18].parquet
Niger,NER,562,end,2024,0.3096728480527616,0.3549497056201487,0.19902977277001427,0.1363476735570753,0.33537744632708955,0.42816486020938627,2974,1313701063.4290001,COMTRADE-FINAL-CA5622024H6[2025-10-15].parquet
North Macedonia,MKD,807,start,1994,0.1448878521341115,0.27180326496911406,0.24342309433441067,0.33988578856236373,0.5833088828967744,0.20266368662863873,3824,1323050678.0,COMTRADE-FINAL-CA8071994H0[2004-02-04].parquet
North Macedonia,MKD,807,mid,2009,0.07512944619452583,0.24880208092706874,0.2600218147446404,0.41604665813376507,0.6760684728784055,0.12951373205672292,4287,4268788570.99,COMTRADE-FINAL-CA8072009H3[2022-10-24].parquet
North Macedonia,MKD,807,end,2024,0.1700083165236225,0.25276655411055754,0.23431827142219788,0.3429068579436221,0.5772251293658198,0.22436189044101906,4477,10468104685.53,COMTRADE-FINAL-CA8072024H6[2025-02-26].parquet
Norway,NOR,579,start,1993,0.1146041253923066,0.21805387673446416,0.21118173400484735,0.4561602638683818,0.6673419978732291,0.1658388562813169,4517,22842033435.0,COMTRADE-FINAL-CA5791993H0[2002-09-01].parquet
Norway,NOR,579,mid,2009,0.09906927297911859,0.24154055031892668,0.23667021598114085,0.42271996072081375,0.6593901767019547,0.1482471013916788,4565,63278580886.935005,COMTRADE-FINAL-CA5792009H3[2022-11-08].parquet
Norway,NOR,579,end,2025,0.13438191171513506,0.23027394445161609,0.23013721639279128,0.4052069274404576,0.6353441438332489,0.1885499557074801,5126,99698743287.688,COMTRADE-FINAL-CA5792025H6[2026-02-11].parquet
Panama,PAN,591,start,1995,0.09948964386199412,0.2516592822236164,0.2549967424174066,0.3938543314969829,0.6488510739143896,0.15275816848851043,4091,2339441835.0,COMTRADE-FINAL-CA5911995H0[2002-09-01].parquet
Panama,PAN,591,mid,2010,0.1921026621971894,0.2808416800080539,0.24172715652712795,0.2853285012676288,0.5270556577947567,0.25321432853254044,3855,16322594274.0,COMTRADE-FINAL-CA5912010H3[2011-05-10].parquet
Panama,PAN,591,end,2025,0.12991525961344233,0.24237057042108015,0.26700473157111737,0.36070943839436015,0.6277141699654775,0.18046821652227685,4146,11498579362.0,COMTRADE-FINAL-CA5912025H6[2026-05-05].parquet
