variant,year,outcome,outcome_label,spearman_log_population,countries
noncommodity_broad,2020,market_benchmark_gini,World-market benchmark Gini,0.4644032435836875,145
noncommodity_broad,2020,gini_gap,Observed minus benchmark Gini,-0.49525271610769955,145
noncommodity_broad,2021,observed_theil,Observed fixed-universe Theil,-0.5374109458616501,143
noncommodity_broad,2021,market_component_theil,Global-market component,0.006845267408647689,143
noncommodity_broad,2021,specialization_kl,Country-specific specialization (KL),-0.43365671886798646,143
noncommodity_broad,2021,market_component_share,Global-market share of observed Theil,0.20314192849404114,143
noncommodity_broad,2021,observed_gini,Observed active-product Gini,-0.35844085491972816,143
noncommodity_broad,2021,market_benchmark_gini,World-market benchmark Gini,0.3712777832496142,143
noncommodity_broad,2021,gini_gap,Observed minus benchmark Gini,-0.4090539741948192,143
noncommodity_broad,2022,observed_theil,Observed fixed-universe Theil,-0.5577563865235099,147
noncommodity_broad,2022,market_component_theil,Global-market component,0.08653635463811589,147
noncommodity_broad,2022,specialization_kl,Country-specific specialization (KL),-0.47015844471813156,147
noncommodity_broad,2022,market_component_share,Global-market share of observed Theil,0.2638063000098225,147
noncommodity_broad,2022,observed_gini,Observed active-product Gini,-0.3878873282004397,147
noncommodity_broad,2022,market_benchmark_gini,World-market benchmark Gini,0.4354887456648709,147
noncommodity_broad,2022,gini_gap,Observed minus benchmark Gini,-0.4611935110956637,147
noncommodity_broad,2023,observed_theil,Observed fixed-universe Theil,-0.5690397462716783,146
noncommodity_broad,2023,market_component_theil,Global-market component,0.07134277423770642,146
noncommodity_broad,2023,specialization_kl,Country-specific specialization (KL),-0.4646486653234747,146
noncommodity_broad,2023,market_component_share,Global-market share of observed Theil,0.2669757936240155,146
noncommodity_broad,2023,observed_gini,Observed active-product Gini,-0.35028582996732,146
noncommodity_broad,2023,market_benchmark_gini,World-market benchmark Gini,0.4945793527614164,146
noncommodity_broad,2023,gini_gap,Observed minus benchmark Gini,-0.43842750137371916,146
noncommodity_broad,2024,observed_theil,Observed fixed-universe Theil,-0.4915537447353964,128
noncommodity_broad,2024,market_component_theil,Global-market component,0.024091283647683575,128
noncommodity_broad,2024,specialization_kl,Country-specific specialization (KL),-0.3985190441311115,128
noncommodity_broad,2024,market_component_share,Global-market share of observed Theil,0.22499885552096685,128
noncommodity_broad,2024,observed_gini,Observed active-product Gini,-0.3127689525727888,128
noncommodity_broad,2024,market_benchmark_gini,World-market benchmark Gini,0.4809615912836477,128
noncommodity_broad,2024,gini_gap,Observed minus benchmark Gini,-0.434673136788134,128
