model_label,outcome,term,coef,std_error,t_stat,p_value,nobs,candidate_rows,clusters,reporter_clusters,product_clusters,fixed_effects,cluster_col,se_method,status,screen,prody_spec,mismatch_definition,threshold_definition
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.024204138566039656,0.005733857359524961,4.221266252086348,5.3956929881348364e-05,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.004689711194036778,0.007829838388420659,-0.5989537665263013,0.5505718307435822,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.014696240279616888,0.020716511019658587,-0.7093974591412201,0.47974526916395055,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.031342274962010655,0.005911936189280581,5.301524569706946,6.98833006258851e-07,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.004689711194036778,0.00796932561729642,-0.5884702695367785,0.557556877846002,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.014696240279616888,0.02075530705514236,-0.7080714460437592,0.48056466534929276,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.031342274962010655,0.006458887555580124,4.852580988955698,4.545095655915612e-06,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.006086678304863934,0.006294935729604304,-0.9669166718000057,0.3361206578614434,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.015140672158897027,0.007455124680647294,-2.030907973705737,0.045150343896079796,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.02715168331499554,0.0055170254115846145,4.921435246243856,3.754591717885826e-06,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.006086678304863934,0.006456229077438308,-0.9427605854529245,0.3482725026523288,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.015140672158897027,0.007662006292253236,-1.9760714858985675,0.05114230548473237,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.02715168331499554,0.006260879239651093,4.336720494948989,3.696984707692715e-05,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,0.0011676888222861006,0.006500806546859562,0.17962214593975157,0.8578442428260786,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_c,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.013699355358249012,0.007442706190228725,-1.8406416978053532,0.06889753922143614,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_c,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.024157144297434638,0.005252432899588509,4.599229492170605,1.350266696718075e-05,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_c,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,0.0011676888222861006,0.006652295658631881,0.17553170848185795,0.8610476248060912,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_c,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.013699355358249012,0.007659085682802876,-1.7886410892371258,0.07696414961868533,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_c,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.024157144297434638,0.006029556807593477,4.006454382685593,0.00012495331602343214,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_c,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.010901808013051892,0.006782571488218368,-1.6073266654083667,0.11140952019847973,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.03329415990212386,0.00845905125431636,-3.935921287287981,0.00016085167344879586,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.03510359049308799,0.005705818207780448,6.152244816566496,1.9581675349758316e-08,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.010901808013051892,0.006964236981538066,-1.5653987711722306,0.12092279422839708,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.03329415990212386,0.008524734960907422,-3.9055947257954204,0.00017914954764866164,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.03510359049308799,0.00627590136682812,5.593394229971712,2.270741735278978e-07,1081512,1105073,93,93,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_c,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
