model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,model_description,outcome_sd,outcome_label,bh_q_value,effect_of_population_doubling,effect_of_population_doubling_sd,doubling_ci_low_sd,doubling_ci_high_sd
country_year_fe_diagnostic,cadot_broad_156,Exports,product,observed_gini,observed_gini,log_population,0.012574739595408984,0.009469677855161633,1.3278951816248823,0.18617756663986665,-0.006132495922708432,0.0312819751135264,3589,155,0.73465952435045,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,0.040648101428985846,Observed active-product Gini,,0.008716145296833244,0.21442933348463425,-0.1045736973975752,0.5334323643668437
country_year_fe_diagnostic,cadot_broad_156,Exports,product,observed_gini,observed_gini,log_gdp_per_capita,-0.0024732921065235072,0.0034350160719597,-0.7200234452214593,0.4726019437257043,-0.0092591253364937,0.004312541123446685,3589,155,0.73465952435045,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,0.040648101428985846,Observed active-product Gini,,,,-0.15789019402675428,0.07353912275554142
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_benchmark_gini,market_benchmark_gini,log_population,-0.008855980124331347,0.015050914641192485,-0.5884014583468322,0.5571248255005834,-0.03858888226338343,0.020876922014720738,3589,155,0.46919871730485807,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,0.026265175043156824,World-market benchmark Gini,,-0.006138497654275187,-0.23371242126461753,-1.0183741360137182,0.5509492934844832
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_benchmark_gini,market_benchmark_gini,log_gdp_per_capita,-0.003003540532784593,0.002754264093098496,-1.0905056418920474,0.27719380130587845,-0.008444556357900873,0.0024374752923316863,3589,155,0.46919871730485807,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,0.026265175043156824,World-market benchmark Gini,,,,-0.22285480378260739,0.0643258277848192
country_year_fe_diagnostic,cadot_broad_156,Exports,product,gini_gap,gini_gap,log_population,0.02143071971974005,0.01902203904467381,1.1266257875619634,0.2616532189285023,-0.016147091256118577,0.05900853069559868,3589,155,0.7530138387385795,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,0.04737418484603664,Observed minus benchmark Gini,,0.014854642951108237,0.31355986386647,-0.2362533691038083,0.8633730968367483
country_year_fe_diagnostic,cadot_broad_156,Exports,product,gini_gap,gini_gap,log_gdp_per_capita,0.0005302484262610929,0.004334210613387066,0.12234025375308617,0.9027890575050423,-0.008031932882320713,0.0090924297348429,3589,155,0.7530138387385795,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,0.04737418484603664,Observed minus benchmark Gini,,,,-0.11751783486978737,0.13303431089375312
main_year_fe,cadot_broad_156,Exports,product,observed_theil,observed_theil,log_population,-0.45527711139253035,0.03590400755708666,-12.680398160808338,1.1014012721345516e-25,-0.526205049564005,-0.38434917322105566,3635,155,0.5199018147235365,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,1.3749743247294484,Observed fixed-universe Theil,7.709808904941862e-25,-0.31557404613520856,-0.22951268286213533,-0.2652686235239085,-0.19375674220036215
main_year_fe,cadot_broad_156,Exports,product,observed_theil,observed_theil,log_gdp_per_capita,-0.4219916671076826,0.04269829725891316,-9.883102938480596,3.828515395618587e-18,-0.5063416434492423,-0.3376416907661229,3635,155,0.5199018147235365,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,1.3749743247294484,Observed fixed-universe Theil,,,,-0.2552551536742267,-0.1702107317822693
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.0666550781540611,0.020918593208987923,3.1864034779079673,0.0017443712405565439,0.02533064707482148,0.10797950923330073,3635,155,0.295655027553666,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,0.6986193094270016,Global-market component,0.0017443712405565439,0.046201779492490255,0.06613298382832325,0.025132237779216648,0.10713372987742986
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.26038457097807555,0.03021933994514824,8.6164877012769,7.728796214152997e-15,0.20068662578896834,0.32008251616718275,3635,155,0.295655027553666,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,0.6986193094270016,Global-market component,,,,0.1991146923147667,0.31757538137585406
