outcome_slug,flow,outcome_label,estimator,model_label,income_form,income_label,linear_term,linear_coefficient,linear_std_error,linear_p_value,quadratic_term,quadratic_coefficient,quadratic_std_error,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,turning_point_inside_minmax,turning_point_inside_p05_p95,income_min,income_p05,income_p95,income_max,nobs,clusters,r_squared,expected_shape,verdict
import_product_theil,Imports,Import Product Theil,pooled_year_fe,level_ppp_controls_year_fe_country_cluster,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.2515884423873787,0.040019704340134264,4.245736725025456e-09,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.018671012277216643,0.003982972514770856,6.712269555661777e-06,67374.07663064424,True,True,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.2646849201661935,concentration_u,clear hump
import_product_theil,Imports,Import Product Theil,country_year_fe,level_ppp_controls_country_year_fe_country_cluster,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.12710820801851921,0.08470693549516979,0.13582084337101527,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.00645477399834718,0.003659571670736789,0.08004365791877355,98460.61849033502,True,False,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.7539220270315143,concentration_u,no clean hump
import_product_theil,Imports,Import Product Theil,between_country,level_ppp_controls_between_country,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.28034489195769247,0.051176370499846746,2.144487035663183e-07,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.022239321456355453,0.005873619655121595,0.00023259061395645086,63029.101968751114,True,True,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,135,0,0.3477862909345545,concentration_u,clear hump
import_product_theil,Imports,Import Product Theil,pooled_year_fe,log_ppp_controls_year_fe_country_cluster,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-2.117185884713866,0.4768616203951709,1.8647424062370003e-05,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.09684099581377065,0.02524502976898205,0.0001917379085381898,55895.99471466747,True,True,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.36272424339678677,concentration_u,clear hump
import_product_theil,Imports,Import Product Theil,country_year_fe,log_ppp_controls_country_year_fe_country_cluster,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-1.4498428499649076,0.8565370086355643,0.09284022313886922,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.05832678656340767,0.0451680297546769,0.19881275024451914,249850.81943122315,False,False,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.759546054992282,concentration_u,outside-support artifact
import_product_theil,Imports,Import Product Theil,between_country,log_ppp_controls_between_country,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-2.1761239888247523,0.4937261629230978,2.1671585185081503e-05,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.10011069405604259,0.026100092316035453,0.00019438709867378428,52501.08221867853,True,True,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,135,0,0.4583448378465862,concentration_u,clear hump
import_product_hhi,Imports,Import Product HHI,pooled_year_fe,level_ppp_controls_year_fe_country_cluster,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.0033515436822056017,0.0014825280734779016,0.025390302756263444,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.00020007767024098213,0.00013156228912594462,0.13067052652365999,83756.06528626755,True,False,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.07840740954016134,concentration_u,no clean hump
import_product_hhi,Imports,Import Product HHI,country_year_fe,level_ppp_controls_country_year_fe_country_cluster,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.00923631083578488,0.005837963756554136,0.11598152513006507,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.000350642571551602,0.00023242321736324507,0.13374543756911805,131705.49706662796,True,False,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.4519763325639793,concentration_u,no clean hump
import_product_hhi,Imports,Import Product HHI,between_country,level_ppp_controls_between_country,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.0036579964329703034,0.0017446586769954663,0.03795951516807618,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.0002520161963087664,0.0001732129760517297,0.14809354387990525,72574.62985610223,True,True,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,135,0,0.11580921395139354,concentration_u,no clean hump
import_product_hhi,Imports,Import Product HHI,pooled_year_fe,log_ppp_controls_year_fe_country_cluster,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.038135492116409105,0.01664764043954413,0.02353931441870012,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.0017365644069723908,0.0008931018616113988,0.05393989461764985,58697.64163842342,True,True,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.10084287729611852,concentration_u,no clean hump
