source_file,reporter_code,year,total_imports_cells,active_products,active_partners,actual_partner_gini,counterfactual_partner_gini,partner_gini_reduction,explained_share,counterfactual_residual_share,full_diffusion_partner_gini,full_diffusion_reduction,full_diffusion_explained_share,conservative_total_abs_error,full_diffusion_total_abs_error,conservative_product_total_max_abs_error,country,iso3,exercise1_total_imports,exercise1_partner_gini,exercise1_partner_active_count,exercise4_summary_total_imports,exercise4_summary_import_products,exercise4_country,exercise4_iso3,partner_gini_validation_abs_diff,exercise4_total_abs_diff,exercise1_total_abs_diff
COMTRADE-FINAL-CA0722023H6[2024-04-05].parquet,72,2023,6411266258.856001,4537,168,0.962484285193582,0.7899306430471258,0.1725536421464562,0.17927943842922164,0.8207205615707783,0.0,0.962484285193582,1.0,9.5367431640625e-07,9.5367431640625e-07,7.450580596923828e-09,Botswana,BWA,6411266258.856,0.9624842851935824,168,6411266258.856,4537,Botswana,BWA,4.440892098500626e-16,9.5367431640625e-07,9.5367431640625e-07
COMTRADE-FINAL-CA3922025H6[2026-02-10].parquet,392,2025,711015615055.742,5211,219,0.9095955405113954,0.7400111050120823,0.169584435499313,0.186439387558968,0.813560612441032,0.0,0.9095955405113954,1.0,0.0,0.0001220703125,4.76837158203125e-07,Japan,JPN,679527442357.5691,0.9127945653550718,217,711015615055.7421,5211,Japan,JPN,0.0031990248436764013,0.0001220703125,31488172698.17285
COMTRADE-FINAL-CA7922025H6[2026-05-13].parquet,792,2025,326732741833.0,5224,223,0.8757058426130626,0.7075200513444426,0.16818579126862,0.1920574045352512,0.8079425954647488,0.0,0.8757058426130626,1.0,0.0,0.0,9.5367431640625e-07,Turkey,TUR,326732741833.0,0.8757058426130626,223,326732741833.0,5224,Turkey,TUR,0.0,0.0,0.0
COMTRADE-FINAL-CA5542025H6[2026-03-13].parquet,554,2025,47384527430.493996,4924,221,0.9248903604692083,0.7574046992576644,0.16748566121154385,0.18108704379465726,0.8189129562053428,0.0,0.9248903604692083,1.0,0.0,7.62939453125e-06,4.76837158203125e-07,New Zealand,NZL,47384527430.494,0.9248903604692084,221,47384527430.494,4924,New Zealand,NZL,1.1102230246251565e-16,7.62939453125e-06,7.62939453125e-06
COMTRADE-FINAL-CA3802025H6[2026-05-05].parquet,380,2025,656792571195.8121,5494,215,0.8727651694392125,0.7055065835063763,0.16725858593283616,0.19164214131082555,0.8083578586891744,0.0,0.8727651694392125,1.0,0.0001220703125,0.0001220703125,1.9073486328125e-06,Italy,ITA,638049214558.694,0.8752058610063576,214,656792571195.812,5494,Italy,ITA,0.0024406915671451035,0.0001220703125,18743356637.118164
COMTRADE-FINAL-CA5792025H6[2026-02-11].parquet,579,2025,105941455480.71703,5163,210,0.8917099041325804,0.7267357863936681,0.16497411773891235,0.18500873094977288,0.8149912690502271,0.0,0.8917099041325804,1.0,1.52587890625e-05,3.0517578125e-05,2.384185791015625e-07,Norway,NOR,105061415360.837,0.8924364250766728,210,105941455480.717,5163,Norway,NOR,0.0007265209440923126,3.0517578125e-05,880040119.8800201
COMTRADE-FINAL-CA7162024H6[2025-04-09].parquet,716,2024,9467255896.909,4305,131,0.91629378989102,0.7556723016349522,0.1606214882560677,0.1752947471958435,0.8247052528041565,0.0,0.91629378989102,1.0,1.9073486328125e-06,0.0,7.450580596923828e-09,Zimbabwe,ZWE,9467255896.909,0.91629378989102,131,9467255896.909,4305,Zimbabwe,ZWE,0.0,0.0,0.0
COMTRADE-FINAL-CA6432021H5[2022-08-30].parquet,643,2021,279635581860.448,4971,216,0.8900942569870187,0.7303008685678591,0.15979338841915958,0.17952412024324524,0.8204758797567547,0.0,0.8900942569870187,1.0,0.0,0.0,9.5367431640625e-07,Russia,RUS,263636773551.88297,0.8998241101128133,214,279635581860.448,4971,Russia,RUS,0.009729853125794552,0.0,15998808308.565033
COMTRADE-FINAL-CA1882024H6[2025-10-05].parquet,188,2024,23674945696.575,4553,204,0.928149297335396,0.7698451799121975,0.1583041174231985,0.1705588937875301,0.8294411062124699,0.0,0.928149297335396,1.0,3.814697265625e-06,3.814697265625e-06,2.9802322387695312e-08,Costa Rica,CRI,23674945696.574997,0.9281492973353964,204,23674945696.574997,4553,Costa Rica,CRI,4.440892098500626e-16,3.814697265625e-06,3.814697265625e-06
COMTRADE-FINAL-CA5042024H6[2025-12-10].parquet,504,2024,96711070144.58601,4938,201,0.8985658640145913,0.7403334953992609,0.1582323686153304,0.17609434650497804,0.823905653495022,0.0,0.8985658640145913,1.0,1.52587890625e-05,1.52587890625e-05,2.384185791015625e-07,Morocco,MAR,95008312506.334,0.9000916054423396,198,96711070144.586,4938,Morocco,MAR,0.0015257414277483061,1.52587890625e-05,1702757638.2520142
COMTRADE-FINAL-CA3522025H6[2026-03-02].parquet,352,2025,10945446087.235,4970,180,0.8803253556082058,0.7230391028197671,0.15728625278843866,0.17866832050949114,0.8213316794905089,0.0,0.8803253556082058,1.0,0.0,0.0,2.9802322387695312e-08,Iceland,ISL,10736288873.856998,0.8809262298995184,178,10945446087.235,4970,Iceland,ISL,0.0006008742913126142,0.0,209157213.37800217
COMTRADE-FINAL-CA6862024H6[2025-10-10].parquet,686,2024,11348956799.039,4135,164,0.8462178048341886,0.693545249308827,0.15267255552536163,0.18041756466619951,0.8195824353338005,0.0,0.8462178048341886,1.0,1.9073486328125e-06,1.9073486328125e-06,5.960464477539063e-08,Senegal,SEN,11300623742.04,0.8466323961964477,164,11348956799.039,4135,Senegal,SEN,0.0004145913622590758,0.0,48333056.99899864
COMTRADE-FINAL-CA2462025H6[2026-04-28].parquet,246,2025,83269142754.367,5076,207,0.8964371388676073,0.7453819385066487,0.15105520036095865,0.16850618276678475,0.8314938172332152,0.0,0.8964371388676073,1.0,0.0,0.0,1.1920928955078125e-07,Finland,FIN,81221256794.25699,0.8978553404021865,206,83269142754.367,5076,Finland,FIN,0.0014182015345791665,0.0,2047885960.1100159
COMTRADE-FINAL-CA4422025H6[2026-03-24].parquet,442,2025,26041577825.209003,5107,229,0.9439452525045362,0.7946747948111406,0.14927045769339564,0.15813465590016124,0.8418653440998388,0.0,0.9439452525045362,1.0,3.814697265625e-06,3.814697265625e-06,5.960464477539063e-08,Luxembourg,LUX,26041577825.209,0.9439452525045362,229,26041577825.209,5107,Luxembourg,LUX,0.0,3.814697265625e-06,3.814697265625e-06
COMTRADE-FINAL-CA4172025H6[2026-03-11].parquet,417,2025,11928180106.0,4118,156,0.9443892258025284,0.795417235310478,0.14897199049205034,0.15774427155864268,0.8422557284413573,0.0,0.9443892258025284,1.0,0.0,0.0,3.725290298461914e-09,Kyrgyzstan,KGZ,11831146189.0,0.9441565934705284,155,11928180106.0,4118,Kyrgyzstan,KGZ,0.00023263233199999345,0.0,97033917.0
COMTRADE-FINAL-CA0762025H6[2026-01-17].parquet,76,2025,293883963395.0,4916,227,0.9040717287197324,0.7555965650616672,0.14847516365806523,0.1642294067400192,0.8357705932599808,0.0,0.9040717287197324,1.0,0.0,0.0,5.960464477539063e-08,Brazil,BRA,293883963395.0,0.9040717287197324,227,293883963395.0,4916,Brazil,BRA,0.0,0.0,0.0
COMTRADE-FINAL-CA8002024H6[2025-10-15].parquet,800,2024,13832924772.85,4404,174,0.902842732112652,0.7585980654100914,0.14424466670256053,0.159767212574252,0.840232787425748,0.0,0.902842732112652,1.0,0.0,1.9073486328125e-06,2.9802322387695312e-08,Uganda,UGA,13799537812.9,0.9024164289227876,173,13832924772.849998,4404,Uganda,UGA,0.0004263031898643632,1.9073486328125e-06,33386959.950000763
COMTRADE-FINAL-CA1912025H6[2026-04-24].parquet,191,2025,50079981002.0,5168,159,0.8852154516540054,0.7472511567828284,0.137964294871177,0.15585391625665118,0.8441460837433489,0.0,0.8852154516540054,1.0,0.0,0.0,2.384185791015625e-07,Croatia,HRV,49073020849.0,0.8849754361288991,158,50079981002.0,5168,Croatia,HRV,0.00024001552510632962,0.0,1006960153.0
COMTRADE-FINAL-CA3002024H6[2025-02-25].parquet,300,2024,88221403317.51698,5229,200,0.8700494836751334,0.7321501171978435,0.13789936647728984,0.15849600403737485,0.8415039959626252,0.0,0.8700494836751334,1.0,1.52587890625e-05,1.52587890625e-05,2.9802322387695312e-08,Greece,GRC,84837424784.754,0.8673074655179367,197,88221403317.517,5229,Greece,GRC,0.0027420181571966573,1.52587890625e-05,3383978532.762985
COMTRADE-FINAL-CA7052025H6[2026-05-08].parquet,705,2025,79179314195.51399,5182,228,0.9326223624732857,0.7953104340206769,0.13731192845260876,0.14723207803902724,0.8527679219609727,0.0,0.9326223624732857,1.0,0.0,0.0,5.960464477539063e-08,Slovenia,SVN,78307410330.081,0.9333821386148208,227,79179314195.51399,5182,Slovenia,SVN,0.0007597761415351068,0.0,871903865.4329987
COMTRADE-FINAL-CA1162024H6[2026-04-27].parquet,116,2024,28678192248.84,4323,151,0.9511556570617785,0.8167202633309998,0.13443539373077873,0.14133900453902995,0.8586609954609701,0.0,0.9511556570617785,1.0,0.0,3.814697265625e-06,1.4901161193847656e-08,Cambodia,KHM,28645293022.6,0.9513739195575616,151,28678192248.840004,4323,Cambodia,KHM,0.00021826249578305035,3.814697265625e-06,32899226.24000168
COMTRADE-FINAL-CA6042024H6[2025-08-05].parquet,604,2024,55026599180.176,4687,203,0.9229876591689954,0.7948419173719297,0.12814574179706573,0.13883797960250166,0.8611620203974983,0.0,0.9229876591689954,1.0,0.0,7.62939453125e-06,4.76837158203125e-07,Peru,PER,54808636812.991,0.9230179446342972,203,55026599180.175995,4687,Peru,PER,3.028546530181586e-05,7.62939453125e-06,217962367.1850052
COMTRADE-FINAL-CA0312025H6[2026-03-08].parquet,31,2025,24107475565.74,4560,170,0.8933381586735596,0.7654137693939571,0.12792438927960248,0.1431981697384855,0.8568018302615145,0.0,0.8933381586735596,1.0,3.814697265625e-06,3.814697265625e-06,2.9802322387695312e-08,Azerbaijan,AZE,24107475565.74,0.8933381586735596,170,24107475565.740005,4560,Azerbaijan,AZE,0.0,3.814697265625e-06,0.0
